"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",";"";2;"";;;
2;"J1";"PinHeader_2x13_P2.54mm_Horizontal";1;"Conn_02x13_Odd_Even";;;
3;"C13,C41,C38,C36,C30,C29";"C_0603_1608Metric";6;"10uF";;;
4;"SW1,SW2";"SW_SPST_PTS810";2;"SW_Push";;;
5;"D11";"LED_0603_1608Metric";1;"LED_GREEN";;;
6;"R2,R1,R5,R4,R3";"RESCAF80P320X160X60-8N";5;"CAY16-222J4LF";;;
7;"D7,D8";"D_0402_1005Metric";2;"ESD_VARISTOR";;;
8;"R14";"R_0402_1005Metric";1;"1k";;;
9;"C14,C10,C21,C26,C25,C22";"C_0402_1005Metric";6;"0.1uF";;;
10;"C15";"C_0402_1005Metric";1;"1nF";;;
11;"REF**,REF**,REF**,REF**,REF**,REF**";"Fiducial_1mm_Mask2mm";6;"Fiducial_1mm_Mask2mm";;;
12;"R6";"R_0402_1005Metric";1;"1M";;;
13;"Y1";"XTAL_ABMM2-8.000MHZ-E2-T";1;"ABMM2-8.000MHZ-E2-T";;;
14;"R8,R7";"R_0402_1005Metric";2;"22 ohm";;;
15;"C11,C19,C8,C6,C20,C9,C23,C24,C7";"C_0402_1005Metric";9;"1uF";;;
16;"J3,J5";"PinSocket_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
17;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
18;"C17,C18";"C_0201_0603Metric";2;"47pF";;;
19;"CONN1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
20;"R15,R16";"R_0402_1005Metric";2;"470k";;;
21;"C39,C40";"C_0402_1005Metric";2;"18pF";;;
22;"R12,R11";"R_0402_1005Metric";2;"330 ohm";;;
23;"U1";"TQFP-64_10x10mm_P0.5mm";1;"ADS129x";;;
24;"D10";"LED_0603_1608Metric";1;"LED_RED";;;
25;"U7";"SSOP-28_5.3x10.2mm_P0.65mm";1;"PIC32MX250F128B-I/SS";;;
26;"R10,R9";"R_0402_1005Metric";2;"1k ohm";;;
27;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
28;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
29;"D13";"LED_0603_1608Metric";1;"LED";;;
30;"C12";"C_1206_3216Metric";1;"100uF";;;
31;"C5,C4,C1,C3,C2";"CAPCAXE50P210X130X94-8N";5;"CA0508KRX7R9BB102";;;
32;"U5";"SOT-23-5";1;"TPS7A24";;;
33;"L1,L2";"L_0402_1005Metric";2;"CHOKE";;;
34;"U3";"SOT-23-5";1;"MCP1754T-3302E/OT";;;
35;"D12";"D_SOD-323";1;"D_Zener";;;
36;"D4,D6,D3,D1,D2,D5";"TPD4E1B06DCKR";6;"DCK6_TEX";;;
37;"U4";"SOT-23-6";1;"LM2664";;;
38;"U6";"SOT-23-5";1;"TPS723xx-Q1";;;
39;"D9";"ESDALC6V1-1M2";1;"TVS_D";;;
40;"R13";"R_0402_1005Metric";1;"0";;;
41;"C16,C34";"C_0402_1005Metric";2;"0.01uF";;;
42;"F1";"Fuse_1812_4532Metric";1;"SM_FUSE";;;
43;"C37,C31,C28,C35,C32,C33";"C_0402_1005Metric";6;"2.2uF";;;
44;"C27";"C_0201_0603Metric";1;"1nF";;;
