"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5","5","CA0508KRX7R9BB102","Capacitor Arrays:CAPCAXE50P210X130X94-8N",""
"2","C6, C7, C8, C9, C11, C19, C20, C23, C24","9","1uF","Capacitor_SMD:C_0402_1005Metric",""
"3","C10, C14, C21, C22, C25, C26","6","0.1uF","Capacitor_SMD:C_0402_1005Metric",""
"4","C12","1","100uF","Capacitor_SMD:C_1206_3216Metric",""
"5","C13","1","10uF","Capacitor_SMD:C_0603_1608Metric",""
"6","C15, C27","2","1nF","Capacitor_SMD:C_0402_1005Metric",""
"7","D1, D2, D3, D4, D5, D6","6","TPD4E1B06DCKR","TSV - Diodes:TPD4E1B06DCKR",""
"8","J1","1","Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Horizontal",""
"9","J2","1","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"10","J4","1","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"11","R1, R2, R3, R4, R5","5","CAY16-222J4LF","Resistor Arrays:RESCAF80P320X160X60-8N",""
"12","R6","1","1M","Resistor_SMD:R_0402_1005Metric",""
"13","R13","1","0","Resistor_SMD:R_0402_1005Metric",""
"14","U1","1","ADS129x","Package_QFP:TQFP-64_10x10mm_P0.5mm",""
